Tickers;Long Company Name;Last Sale Price;Common Dividends Paid;Repurchase of Common Stock;Net Income to Company;Total Assets;Total Debt;Cash And Equivalents;LTM EBITDA;Market Capitalization;Total Enterprise Value;Shares Outstanding;Total Equity;Paid Dividend;Repurchase of Stock ;Dividend Yield (%);Payout Dividendos;Payout Recompra;MB;CASH;ROA;Net Debt;DEBT;Year
BOVESPA:MRVE3;MRV Engenharia e Participações S.A. (BOVESPA:MRVE3);12,00;-310,40;0,00;902,68;20225,00;5412,00;947,90;686,90;5794,50;8483,80;482,90;6599,00;1,00;0,00;0,05;0,34;0,00;0,88;0,05;0,05;4464,00;0,27;2021,00
BOVESPA:PLPL3;Plano & Plano Desenvolvimento Imobiliário S.A. (BOVESPA:PLPL3);3,25;-40,00;-8,20;135,08;1269,00;408,70;200,30;184,80;662,50;763,50;203,90;317,00;1,00;1,00;0,06;0,30;0,06;2,09;0,16;0,11;208,00;0,32;2021,00
BOVESPA:RDNI3;RNI Negócios Imobiliários S.A. (BOVESPA:RDNI3);10,20;-0,40;0,00;14,89;1937,00;532,70;57,50;20,20;430,50;925,30;42,20;638,00;1,00;0,00;0,00;0,03;0,00;0,67;0,03;0,01;475,00;0,28;2021,00
BOVESPA:TRIS3;Trisul S.A. (BOVESPA:TRIS3);5,95;-45,00;-27,30;131,97;2340,00;642,50;387,50;169,30;1091,80;1354,10;183,50;1271,00;1,00;1,00;0,04;0,34;0,21;0,86;0,17;0,06;255,00;0,28;2021,00
BOVESPA:DOHL4;Döhler S.A. (BOVESPA:DOHL4);6,03;-22,30;0,00;77,35;923,00;44,90;35,00;95,90;1162,60;1164,80;75,60;705,00;1,00;0,00;0,02;0,29;0,00;1,65;0,04;0,08;10,00;0,05;2021,00
BOVESPA:CTKA4;Karsten S.A. (BOVESPA:CTKA4);17,79;0,00;0,00;57,49;631,00;566,20;6,30;76,50;148,30;663,10;6,20;-134,00;0,00;0,00;0,00;0,00;0,00;-1,11;0,01;0,09;560,00;0,90;2021,00
BOVESPA:PTNT4;Pettenati S.A. Industria Têxtil (BOVESPA:PTNT4);6,27;-54,60;0,00;73,56;722,00;209,40;100,80;115,90;442,70;593,50;48,00;342,00;1,00;0,00;0,12;0,74;0,00;1,29;0,14;0,10;109,00;0,29;2021,00
BOVESPA:TFCO4;Track & Field Co S.A. (BOVESPA:TFCO4);12,96;-6,10;0,00;77,15;475,00;79,00;66,80;94,20;2030,90;2045,20;156,70;268,00;1,00;0,00;0,00;0,08;0,00;7,58;0,14;0,16;12,00;0,17;2021,00
BOVESPA:ALPA4;Alpargatas S.A. (BOVESPA:ALPA4);37,02;-148,60;0,00;692,56;8032,00;288,10;583,20;694,20;19617,20;19304,20;579,00;3467,00;1,00;0,00;0,01;0,21;0,00;5,66;0,07;0,09;-295,00;0,04;2021,00
BOVESPA:CAMB3;Cambuci S.A. (BOVESPA:CAMB3);4,93;0,00;0,00;27,59;319,00;98,00;3,50;37,20;208,40;283,20;42,30;125,00;0,00;0,00;0,00;0,00;0,00;1,67;0,01;0,09;95,00;0,31;2021,00
BOVESPA:GRND3;Grendene S.A. (BOVESPA:GRND3);8,65;-670,80;-1,80;601,01;4554,00;202,70;22,10;459,50;7803,70;6332,60;902,20;4094,00;1,00;1,00;0,09;1,12;0,00;1,91;0,00;0,13;181,00;0,04;2021,00
BOVESPA:VULC3;Vulcabras S.A. (BOVESPA:VULC3);9,14;-86,00;0,00;313,84;1995,00;399,10;114,60;379,30;2246,20;2507,40;245,80;1357,00;1,00;0,00;0,04;0,27;0,00;1,66;0,06;0,16;284,00;0,20;2021,00
BOVESPA:TECN3;Technos S.A. (BOVESPA:TECN3);2,32;0,00;-13,00;28,08;643,00;139,80;89,60;55,10;172,80;212,00;74,50;329,00;0,00;1,00;0,00;0,00;0,46;0,53;0,14;0,04;50,00;0,22;2021,00
BOVESPA:VIVA3;Vivara Participações S.A. (BOVESPA:VIVA3);25,44;-12,50;0,00;298,49;2564,00;678,40;325,60;325,90;6008,90;6194,70;236,20;1393,00;1,00;0,00;0,00;0,04;0,00;4,31;0,13;0,12;353,00;0,27;2021,00
BOVESPA:UCAS3;Unicasa Indústria de Móveis S.A. (BOVESPA:UCAS3);4,21;-7,00;0,00;25,94;288,00;16,00;60,30;38,30;278,20;222,50;66,10;168,00;1,00;0,00;0,03;0,27;0,00;1,66;0,21;0,09;-44,00;0,06;2021,00
BOVESPA:HETA4;Hércules S.A - Fábrica de Talheres (BOVESPA:HETA4);7,95;0,00;0,00;0,44;10,00;324,60;0,00;0,00;19,10;343,70;0,50;-555,00;0,00;0,00;0,00;0,00;0,00;-0,03;0,00;0,04;325,00;31,92;2021,00
BOVESPA:MYPK3;Iochpe-Maxion S.A. (BOVESPA:MYPK3);15,35;0,00;0,00;626,94;14520,00;5532,20;1088,10;1461,90;2338,90;7267,20;152,40;4398,00;0,00;0,00;0,00;0,00;0,00;0,53;0,07;0,04;4444,00;0,38;2021,00
BOVESPA:LEVE3;MAHLE Metal Leve S.A. (BOVESPA:LEVE3);30,80;-83,40;0,00;566,62;2941,00;272,20;361,10;690,00;3951,90;3893,00;128,30;1711,00;1,00;0,00;0,02;0,15;0,00;2,31;0,12;0,19;-89,00;0,09;2021,00
BOVESPA:BMKS3;Bicicletas Monark S.A. (BOVESPA:BMKS3);238,39;-3,60;0,00;8,06;216,00;2,20;146,40;-1,20;108,40;-27,90;0,50;192,00;1,00;0,00;0,03;0,44;0,00;0,56;0,68;0,04;-144,00;0,01;2021,00
BOVESPA:CSED3;Cruzeiro do Sul Educacional S.A. (BOVESPA:CSED3);7,70;0,00;0,00;82,96;4776,00;2379,70;1085,00;392,30;2940,00;4200,00;381,80;1454,00;0,00;0,00;0,00;0,00;0,00;2,02;0,23;0,02;1295,00;0,50;2021,00
BOVESPA:SEER3;Ser Educacional S.A. (BOVESPA:SEER3);10,49;-40,60;0,00;52,48;3093,00;1063,00;213,70;318,80;1350,30;2088,60;128,70;1463,00;1,00;0,00;0,03;0,77;0,00;0,92;0,07;0,02;849,00;0,34;2021,00
BOVESPA:YDUQ3;Yduqs Participações S.A. (BOVESPA:YDUQ3);20,56;-141,70;0,00;158,17;9898,00;5507,10;905,50;1221,00;6207,00;9478,60;301,90;3242,00;1,00;1,00;0,02;0,90;0,00;1,91;0,09;0,02;4602,00;0,56;2021,00
BOVESPA:RENT3;Localiza Rent a Car S.A. (BOVESPA:RENT3);53,00;-300,20;-1,30;2043,68;25312,00;13369,00;444,10;3278,80;39866,10;47901,70;752,20;7617,00;1,00;1,00;0,01;0,15;0,00;5,23;0,02;0,08;12925,00;0,53;2021,00
BOVESPA:MOVI3;Movida Participações S.A. (BOVESPA:MOVI3);15,78;-106,60;-4,30;819,44;21716,00;14765,70;4602,90;1966,80;5689,80;11785,20;360,60;3284,00;1,00;1,00;0,02;0,13;0,01;1,73;0,21;0,04;10163,00;0,68;2021,00
BOVESPA:VAMO3;Vamos Locação de Caminhões, Máquinas e Equipamentos S.A. (BOVESPA:VAMO3);11,98;-190,80;0,00;402,38;10186,00;6361,00;153,20;1039,30;11608,50;13041,10;969,00;2640,00;1,00;0,00;0,02;0,47;0,00;4,40;0,02;0,04;6208,00;0,63;2021,00
BOVESPA:ARZZ3;Arezzo Indústria e Comércio S.A. (BOVESPA:ARZZ3);76,77;-2,60;-14,20;343,72;3366,00;766,50;33,80;369,20;7606,20;8183,50;99,10;1592,00;1,00;1,00;0,00;0,01;0,04;4,78;0,01;0,10;733,00;0,23;2021,00
