date,rate_unit,title,from_currency,to_currency_name,frequency,time_format,rate,to_currency,from_currency_name
2022-12-05T00:00:00,USD,US dollar/US dollar,USD,US dollar,D,P1D,1.0,USD,US dollar
2022-11-05T00:00:00,USD,US dollar/US dollar,USD,US dollar,D,P1D,1.0,USD,US dollar
2022-11-06T00:00:00,USD,US dollar/US dollar,USD,US dollar,D,P1D,1.0,USD,US dollar
2022-11-12T00:00:00,USD,US dollar/US dollar,USD,US dollar,D,P1D,1.0,USD,US dollar
2022-11-13T00:00:00,USD,US dollar/US dollar,USD,US dollar,D,P1D,1.0,USD,US dollar
2022-11-19T00:00:00,USD,US dollar/US dollar,USD,US dollar,D,P1D,1.0,USD,US dollar
2022-11-20T00:00:00,USD,US dollar/US dollar,USD,US dollar,D,P1D,1.0,USD,US dollar
2022-11-26T00:00:00,USD,US dollar/US dollar,USD,US dollar,D,P1D,1.0,USD,US dollar
2022-11-27T00:00:00,USD,US dollar/US dollar,USD,US dollar,D,P1D,1.0,USD,US dollar
2022-12-03T00:00:00,USD,US dollar/US dollar,USD,US dollar,D,P1D,1.0,USD,US dollar
2022-12-04T00:00:00,USD,US dollar/US dollar,USD,US dollar,D,P1D,1.0,USD,US dollar
