Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Arrecadacao_Total;Ganhadores_15_Numeros;Cidade;Ganhadores_14_Números;Ganhadores_13_Números;Ganhadores_12_Números;Ganhadores_11_Números;Valor_Rateio_15_Números;Valor_Rateio_14_N��meros;Valor_Rateio_13_Números;Valor_Rateio_12_Números;Valor_Rateio_11_Números;Acumulado_15_Números;Estimativa_Premio;Valor_Acumulado_Especial
532;20/05/2010;1;2;4;5;6;7;9;11;12;13;15;16;19;22;24;16.435.972,50;4;BA;856;27798;290052;1324573;260.411,23;745,02;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;PE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
533;24/05/2010;1;2;3;8;9;10;11;13;14;16;17;18;20;24;25;17.014.878,75;2;SC;563;19464;217320;1115689;825.816,73;1.257,27;12,5;5;2,5;0;1.400.000,00;0
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
534;27/05/2010;1;2;3;5;7;8;11;12;13;15;18;19;21;22;24;16.012.412,50;8;DF;651;21381;246416;1296022;141.434,12;1.064,11;12,5;5;2,5;0;1.300.000,00;0
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
535;31/05/2010;1;4;5;6;9;11;13;15;16;17;19;21;23;24;25;17.198.776,25;8;ES;1498;40961;360660;1416452;105.001,52;343,31;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;MA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PI;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RN;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;TO;;;;;;;;;;;;
536;04/06/2010;3;4;5;7;9;11;15;16;17;19;20;22;23;24;25;14.780.662,50;3;BA;380;16892;233261;1174458;358.144,31;1.211,77;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RS;;;;;;;;;;;;
537;07/06/2010;1;2;4;6;9;10;11;14;15;17;18;20;22;23;24;15.075.810,00;3;MG;498;15557;185784;967245;505.475,29;1.305,01;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;MT;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
538;10/06/2010;2;5;6;10;11;12;13;16;17;18;19;20;21;24;25;16.986.092,50;2;MG;308;12973;188621;1136757;864.843,03;2.406,80;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
539;14/06/2010;1;2;4;5;6;8;9;12;13;14;15;16;19;21;23;16.829.241,25;2;PR;575;20840;234195;1245413;701.454,48;1.493,78;12,5;5;2,5;0;1.100.000,00;0
;;;;;;;;;;;;;;;;;;;RS;;;;;;;;;;;;
540;17/06/2010;2;6;7;8;9;11;12;13;15;16;18;19;20;22;24;15.765.595,00;2;SP;353;15332;216759;1082704;724.630,15;1.759,52;12,5;5;2,5;0;1.500.000,00;0
541;21/06/2010;3;4;5;6;9;10;13;14;15;17;19;20;22;24;25;16.363.996,25;13;BA;697;20672;235534;1177329;106.439,22;1.215,45;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MT;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
542;24/06/2010;1;2;3;4;5;8;9;10;13;16;17;18;20;22;24;14.991.955,00;2;GO;251;11695;171471;964323;780.319,96;2.664,72;12,5;5;2,5;0;1.300.000,00;0
;;;;;;;;;;;;;;;;;;;MT;;;;;;;;;;;;
543;28/06/2010;1;5;7;8;10;11;13;14;15;16;17;20;22;24;25;13.582.411,25;1;RN;566;16716;186405;907421;1.258.973,12;1.361,83;12,5;5;2,5;0;1.300.000,00;0
544;01/07/2010;2;4;5;7;8;9;11;13;14;15;18;19;21;23;24;16.051.836,25;8;CE;1188;26674;264609;1304943;131.506,97;542,18;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MT;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
545;05/07/2010;1;3;5;6;7;11;12;13;14;15;17;18;23;24;25;16.581.190,00;5;MG;559;19089;255175;1318074;243.944,00;1.335,89;12,5;5;2,5;0;1.200.000,00;0
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
546;08/07/2010;2;3;4;5;8;9;10;11;12;13;17;18;19;21;23;16.789.755,00;10;MA;1362;29268;298934;1399866;99.495,51;447,25;12,5;5;2,5;0;1.300.000,00;0
;;;;;;;;;;;;;;;;;;;PE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
547;12/07/2010;1;2;4;5;6;9;10;12;14;16;17;19;20;24;25;16.369.718,75;4;ES;525;18363;219631;1162495;364.055,20;1.188,75;12,5;5;2,5;0;1.200.000,00;0
;;;;;;;;;;;;;;;;;;;GO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
548;15/07/2010;1;2;3;4;5;6;7;8;9;13;14;17;20;23;25;16.854.105,00;3;AM;499;15092;207442;1225078;511.311,21;1.317,44;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
549;19/07/2010;3;4;7;9;10;11;13;14;15;16;17;20;21;22;23;17.195.416,25;3;PE;516;17316;218298;1163801;547.465,83;1.364,12;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
550;22/07/2010;1;5;6;7;9;10;11;13;14;16;17;18;20;21;22;16.749.665,00;0;;364;14046;182316;1038543;0;2.128,59;12,5;5;2,5;1.807.877,40;3.500.000,00;0
551;26/07/2010;3;7;8;10;12;13;14;16;17;18;19;20;21;22;24;21.717.697,50;4;BA;516;19374;251668;1412653;1.006.624,34;1.842,71;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
552;29/07/2010;1;3;4;5;6;8;10;12;13;17;20;22;23;24;25;16.782.473,75;5;CE;534;18315;219362;1196146;300.996,01;1.207,85;12,5;5;2,5;0;1.200.000,00;0
;;;;;;;;;;;;;;;;;;;GO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
553;02/08/2010;4;5;7;8;9;10;12;13;14;15;17;18;21;23;24;17.620.751,25;6;BA;552;21395;258936;1319433;236.490,57;1.101,66;12,5;5;2,5;0;1.200.000,00;0
;;;;;;;;;;;;;;;;;;;GO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MT;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
554;05/08/2010;1;2;3;4;6;9;13;14;17;19;20;21;22;24;25;17.382.216,25;2;PR;921;19962;225349;1190896;808.008,00;1.074,26;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
555;09/08/2010;1;2;6;7;8;9;10;12;14;16;17;18;20;23;24;17.908.335,00;2;SP;367;15698;200568;1148222;934.301,32;2.182,10;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
556;12/08/2010;1;4;8;9;11;13;14;16;17;18;20;22;23;24;25;17.263.437,50;1;SP;410;16469;214203;1182087;1.649.889,50;1.724,62;12,5;5;2,5;0;1.500.000,00;0
557;16/08/2010;1;5;7;8;9;10;12;14;15;17;18;19;20;21;23;17.495.488,75;8;AM;861;18470;244201;1257223;190.268,59;1.082,37;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;CE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;DF;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
558;19/08/2010;1;3;4;5;7;10;12;14;17;18;20;21;22;24;25;16.659.952,50;4;ES;799;22708;236911;1159379;363.422,60;1.113,91;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
559;23/08/2010;1;2;5;7;9;10;11;13;14;16;19;20;21;22;23;17.387.301,25;8;MG;686;19343;226706;1195704;201.461,22;1.438,40;12,5;5;2,5;0;1.400.000,00;0
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
560;26/08/2010;1;2;4;9;10;12;14;17;18;19;20;21;23;24;25;16.215.326,25;4;MT;604;20649;244953;1235083;314.489,59;1.275,13;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
561;30/08/2010;2;3;4;6;7;9;10;11;12;13;15;17;18;20;21;17.128.428,75;2;PI;715;18107;220613;1249894;755.984,07;1.294,67;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
562;02/09/2010;1;2;3;5;7;8;13;14;16;18;19;20;21;22;24;17.075.622,50;0;;426;15885;219713;1121876;0;1.683,32;12,5;5;2,5;1.673.214,96;3.500.000,00;0
563;06/09/2010;1;3;4;5;6;7;9;11;12;16;19;20;22;23;24;21.212.081,25;1;BA;549;22041;247821;1352794;3.849.193,68;1.698,66;12,5;5;2,5;0;1.400.000,00;0
564;09/09/2010;1;2;3;4;7;9;12;14;15;17;19;20;21;23;24;17.170.655,00;6;BA;1484;35027;318247;1357895;174.322,76;431,51;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;DF;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
565;13/09/2010;1;4;6;7;9;10;12;15;17;18;19;20;21;23;24;18.883.245,00;4;MG;696;26403;308783;1310061;387.484,25;1.363,42;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
566;16/09/2010;1;3;4;5;7;9;10;11;14;15;16;17;19;20;21;17.996.462,50;1;RJ;597;19734;269743;1352743;1.442.873,72;1.479,71;12,5;5;2,5;0;1.400.000,00;0
567;20/09/2010;1;2;5;7;8;9;10;12;13;14;15;17;21;24;25;18.093.071,25;1;SC;484;19068;258278;1433615;1.396.811,92;1.236,85;12,5;5;2,5;0;1.500.000,00;0
568;23/09/2010;1;2;4;5;6;7;8;9;13;15;16;17;18;20;21;17.468.788,75;2;MG;296;12319;188348;1093798;945.550,01;2.738,08;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
569;27/09/2010;1;2;6;7;8;12;13;16;17;18;19;20;22;24;25;17.913.306,25;3;MG;424;14729;191379;1107683;649.261,12;1.968,78;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
570;30/09/2010;1;2;3;4;5;10;12;14;15;18;19;20;21;22;23;16.837.821,25;5;BA;1211;14428;180764;1141748;340.385,74;860,44;12,5;5;2,5;0;1.100.000,00;0
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RN;;;;;;;;;;;;
571;04/10/2010;3;4;5;6;7;11;12;15;16;18;19;20;21;24;25;17.476.781,25;1;SP;409;12619;167577;1045766;2.000.714,60;2.096,46;12,5;5;2,5;0;1.500.000,00;0
572;07/10/2010;2;5;6;8;9;10;13;14;15;16;17;19;21;22;24;17.007.736,25;8;BA;537;17762;206388;1132891;208.278,57;1.329,79;12,5;5;2,5;0;1.300.000,00;0
;;;;;;;;;;;;;;;;;;;BA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ES;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;GO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
573;11/10/2010;1;2;3;7;10;11;12;14;16;18;20;22;23;24;25;16.725.980,00;10;DF;738;22769;237282;1175010;144.750,16;1.200,84;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;ES;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PB;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RS;;;;;;;;;;;;
574;14/10/2010;1;5;6;11;12;13;14;16;18;19;20;21;22;23;25;16.261.996,25;2;GO;236;11996;178066;985987;895.020,07;3.250,68;12,5;5;2,5;0;1.300.000,00;0
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
575;18/10/2010;3;5;8;9;10;12;13;15;16;17;18;19;21;22;24;17.045.955,00;3;BA;562;19209;243515;1221767;488.591,66;1.117,78;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;GO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
576;21/10/2010;6;8;9;10;11;12;13;15;16;17;18;19;21;23;25;17.120.801,25;2;BA;458;15938;223371;1245607;761.051,27;1.424,30;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
577;25/10/2010;1;2;3;4;5;8;10;12;15;16;18;19;21;22;23;17.464.837,50;2;GO;507;23593;209147;1185808;828.762,36;1.401,12;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
578;28/10/2010;1;4;6;7;8;10;12;13;14;15;16;19;21;22;23;16.988.640,00;2;MG;397;14876;185023;1069786;904.717,13;1.953,33;12,5;5;2,5;0;1.300.000,00;0
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
579;01/11/2010;1;3;5;6;7;8;10;12;13;14;17;19;20;21;24;16.920.325,00;4;BA;872;22931;240902;1207526;359.931,80;1.010,85;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
580;04/11/2010;1;4;6;7;8;9;10;12;13;14;16;17;21;24;25;16.594.732,50;4;RJ;305;12594;181480;1062602;438.982,21;2.467,35;12,5;5;2,5;0;1.400.000,00;0
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;TO;;;;;;;;;;;;
581;08/11/2010;2;4;6;9;11;12;13;14;15;17;18;19;21;23;25;18.138.043,75;8;BA;1077;29297;302521;1395685;160.241,06;728,74;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;BA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ES;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
582;11/11/2010;3;7;8;9;10;11;12;13;15;17;18;19;21;23;25;17.750.496,25;5;BA;1168;62827;372211;1556302;125.093,87;327,85;12,5;5;2,5;0;1.000.000,00;0
;;;;;;;;;;;;;;;;;;;BA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;DF;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SC;;;;;;;;;;;;
583;16/11/2010;1;3;4;7;8;9;11;14;16;17;18;19;21;23;24;14.957.256,25;1;BA;798;22000;207198;1075231;1.266.644,04;971,79;12,5;5;2,5;0;1.300.000,00;0
584;18/11/2010;2;3;5;6;7;8;10;11;14;15;19;20;21;22;23;15.560.160,00;3;ES;441;13027;167793;961223;562.616,10;1.640,28;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
585;22/11/2010;1;5;7;8;9;10;13;14;15;16;17;18;20;23;24;17.010.930,00;3;SC;450;16309;225856;1231405;502.480,27;1.435,66;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
586;25/11/2010;2;3;4;6;7;8;11;12;16;17;18;19;22;24;25;16.759.508,75;7;BA;631;19089;224945;1110458;226.653,62;1.077,59;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;CE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
587;29/11/2010;1;4;5;7;9;10;11;12;13;17;18;19;20;21;23;17.042.682,50;4;PE;980;29881;334590;1495137;210.422,78;525,83;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
588;02/12/2010;1;4;5;7;11;12;13;14;17;18;19;20;23;24;25;18.022.215,00;2;MT;434;17732;261699;1400021;711.241,44;1.404,69;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;RS;;;;;;;;;;;;
589;06/12/2010;2;3;4;6;8;9;10;12;13;20;21;22;23;24;25;18.537.077,50;3;RO;359;13955;218339;1203285;634.634,41;2.272,86;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
590;09/12/2010;1;3;4;6;9;10;11;13;14;15;16;18;19;20;21;18.154.162,50;2;AC;504;16570;219440;1203971;900.878,09;1.532,11;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;GO;;;;;;;;;;;;
591;13/12/2010;1;2;4;7;8;10;11;14;15;16;17;19;20;21;23;17.905.920,00;3;BA;796;24433;242703;1214464;543.400,89;1.253,87;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
592;16/12/2010;1;3;5;6;8;9;10;14;15;16;17;18;19;20;22;17.841.922,50;0;;315;14618;190335;1147118;0;2.567,78;12,5;5;2,5;1.887.316,13;3.900.000,00;0
593;20/12/2010;1;3;4;5;6;9;10;11;13;14;15;20;23;24;25;21.962.933,75;4;MG;622;22988;295679;1649560;934.664,56;1.275,61;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;MS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
594;23/12/2010;2;3;6;7;9;10;11;13;14;15;16;18;20;23;25;17.492.418,75;4;BA;627;24729;241352;1268817;368.981,88;1.441,19;12,5;5;2,5;0;1.000.000,00;0
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
595;27/12/2010;1;5;6;7;8;9;10;11;12;15;17;19;21;24;25;15.604.147,50;3;BA;441;17892;227692;1213860;403.768,38;1.177,17;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
596;30/12/2010;2;3;7;8;9;10;11;12;17;18;19;20;22;23;25;17.221.717,50;7;BA;570;21506;266520;1246576;200.409,07;1.054,79;12,5;5;2,5;0;1.200.000,00;0
;;;;;;;;;;;;;;;;;;;DF;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
597;03/01/2011;1;2;3;5;8;9;10;11;14;16;17;18;22;24;25;14.817.326,25;5;GO;423;16975;175807;973590;293.731,66;1.488,00;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
598;06/01/2011;1;3;4;5;7;11;12;14;15;18;19;20;21;22;25;17.958.260,00;2;MG;367;15591;215022;1217684;879.761,64;2.054,72;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
599;10/01/2011;2;4;5;6;7;9;12;13;16;18;20;21;22;23;24;17.844.896,25;2;PR;880;25267;242911;1212629;806.835,12;1.122,68;12,5;5;2,5;0;1.300.000,00;0
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
600;13/01/2011;1;3;5;6;8;9;10;11;16;17;18;19;22;23;25;17.975.823,75;1;BA;446;18792;264016;1311553;1.508.680,72;1.449,73;12,5;5;2,5;0;1.500.000,00;0
601;17/01/2011;1;3;5;6;7;9;10;11;12;13;14;16;19;20;25;18.226.795,00;1;GO;412;17057;233981;1391101;1.549.579,97;1.611,91;12,5;5;2,5;0;1.600.000,00;0
602;20/01/2011;1;2;5;6;7;8;9;10;11;12;13;18;22;23;25;17.444.588,75;3;PR;380;15543;202872;1287103;531.250,27;1.797,46;12,5;5;2,5;0;1.300.000,00;0
;;;;;;;;;;;;;;;;;;;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
603;24/01/2011;2;4;5;6;8;10;12;13;15;16;19;20;21;22;23;17.852.702,50;9;MG;1056;25773;261450;1219712;173.128,62;903,38;12,5;5;2,5;0;1.300.000,00;0
;;;;;;;;;;;;;;;;;;;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SP;;;;;;;;;;;;
604;27/01/2011;1;2;6;7;9;12;13;14;15;18;19;20;22;24;25;17.009.950,00;3;GO;506;18012;211005;1136698;549.733,20;1.396,84;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;PI;;;;;;;;;;;;
